code,dimension,dimension_name,label,definition,status,introduced_in,scope_notes,examples
RS-001,RS,リスク面,情報漏えい,意図しないデータ開示のリスク。,active,0.1.0,Includes prompt injection and retention risks.,pii exfiltration
RS-002,RS,リスク面,悪用/攻撃,悪用（攻撃支援等）に利用されるリスク。,active,0.1.0,Includes malware generation and social engineering.,phishing|malware
RS-003,RS,リスク面,法令/規程違反,法令・規程・契約の違反リスク。,active,0.1.0,Includes export control and privacy laws.,gdpr|ai act
RS-004,RS,リスク面,知財侵害,著作権・特許・営業秘密等の侵害リスク。,active,0.1.0,Includes training data provenance and output reuse.,copyright
RS-005,RS,リスク面,モデル誤用,モデルの不適切利用・過信によるリスク。,active,0.1.0,Includes hallucination impacts.,hallucination
RS-006,RS,リスク面,偏り/公平性,不公平・偏りのある結果を生むリスク。,active,0.1.0,Relevant for HR/credit decisions.,bias
RS-007,RS,リスク面,安全性,有害コンテンツや危険な推奨のリスク。,active,0.1.0,Safety policies needed.,self-harm advice
RS-008,RS,リスク面,第三者リスク,ベンダー/下請け/モデル提供者に起因するリスク。,active,0.1.0,Assess contracts and controls.,vendor
UC-001,UC,ユースケース分類,一般QA,一般的な質問応答・対話利用。,active,0.1.0,Low to medium risk depending on data type.,chat
UC-002,UC,ユースケース分類,要約,文書・会議・メッセージの要約。,active,0.1.0,Risk depends on confidentiality.,meeting notes
UC-003,UC,ユースケース分類,翻訳,言語間翻訳。,active,0.1.0,Beware of sensitive data in prompts.,translation
UC-004,UC,ユースケース分類,文章作成,メール・文書・レポートの下書き生成。,active,0.1.0,Requires review and attribution policy.,draft email
UC-005,UC,ユースケース分類,コード生成,コードやスクリプトの生成。,active,0.1.0,Must scan for secrets and licensing.,code snippet
UC-006,UC,ユースケース分類,コードレビュー,コードの問題点・改善点レビュー。,active,0.1.0,May expose proprietary code.,review
UC-007,UC,ユースケース分類,データ分析,構造化データの分析と洞察生成。,active,0.1.0,Consider data classification and export restrictions.,csv analysis
UC-008,UC,ユースケース分類,分類/タグ付け,コンテンツの分類・タグ付け。,active,0.1.0,Used for routing and triage.,ticket triage
UC-009,UC,ユースケース分類,検索/RAG,RAGによる検索・質問応答。,active,0.1.0,Risk depends on indexed data scope.,enterprise search
UC-010,UC,ユースケース分類,エージェント自動化,自律/半自律エージェントによるアクション実行。,active,0.1.0,Highest need for controls and logging.,agent workflow
UC-011,UC,ユースケース分類,セキュリティ一次対応,セキュリティ運用の一次対応支援。,active,0.1.0,Ensure confidentiality and integrity.,alert triage
UC-012,UC,ユースケース分類,規程/統制マッピング,統制と証跡をフレームワークへ対応付け。,active,0.1.0,Informative mapping only; not legal advice.,coverage map
UC-013,UC,ユースケース分類,顧客対応,顧客対応業務支援。,active,0.1.0,Be careful with customer data.,support bot
UC-014,UC,ユースケース分類,営業支援,営業活動支援。,active,0.1.0,Avoid sharing confidential pricing/strategy.,proposal draft
UC-015,UC,ユースケース分類,人事支援,人事プロセス支援。,active,0.1.0,Personal data risks are high.,job description
UC-016,UC,ユースケース分類,財務分析,財務分析支援。,active,0.1.0,Consider regulatory and confidentiality constraints.,forecast
UC-017,UC,ユースケース分類,法務ドラフト,法務文書ドラフト支援。,active,0.1.0,Not legal advice; require review.,contract draft
UC-018,UC,ユースケース分類,調達支援,調達業務支援。,active,0.1.0,Vendor and contract data considerations.,rfp draft
UC-019,UC,ユースケース分類,ITヘルプデスク,ITヘルプデスク業務支援。,active,0.1.0,May access internal credentials; handle carefully.,ticket assistant
UC-020,UC,ユースケース分類,ドキュメント整備,ドキュメント生成・整備。,active,0.1.0,Ensure accuracy and change control.,runbook
UC-021,UC,ユースケース分類,ナレッジベース,ナレッジベース構築・検索。,active,0.1.0,RAG governance needed.,kb
UC-022,UC,ユースケース分類,監視/可観測性,監視・可観測性業務支援。,active,0.1.0,Operational logs classification required.,log analysis
UC-023,UC,ユースケース分類,インシデント対応,インシデント対応ワークフロー支援。,active,0.1.0,Evidence integrity is critical.,ir assistant
UC-024,UC,ユースケース分類,脅威モデリング,脅威モデリング支援。,active,0.1.0,May involve sensitive system details.,threat model
UC-025,UC,ユースケース分類,統制テスト,統制テスト・証跡レビュー支援。,active,0.1.0,Informative; auditors decide procedures.,control test
UC-026,UC,ユースケース分類,研修/学習,研修・学習コンテンツ支援。,active,0.1.0,Avoid personal data exposure.,learning plan
UC-027,UC,ユースケース分類,マーケティング,マーケティングコンテンツ生成支援。,active,0.1.0,Ensure brand/legal review.,ad copy
UC-028,UC,ユースケース分類,調査/リサーチ,調査・リサーチ支援。,active,0.1.0,Check citation and source reliability.,research
UC-029,UC,ユースケース分類,意思決定支援,推奨による意思決定支援。,active,0.1.0,Explainability and accountability required.,recommendation
UC-030,UC,ユースケース分類,その他,上記に含まれないユースケース。,active,0.1.0,Use with free-text description and review.,other
